"expression_index","phase","start_line","end_line","line_span","call_head","assignment_target","is_function_definition","preview"
94,"network_metrics_modules_and_candidates",510,539,30,"<-","node_metrics",FALSE,"node_metrics <- tibble( STRING_id = node_ids, gene = annotation$gene[match(node_ids, annotation$STRING_id)], pvalue = annotation$pvalue[match(node_ids, annotation$STRING_id)], l..."
95,"network_metrics_modules_and_candidates",541,541,1,"<-","top_n",FALSE,"top_n <- min(top_n, nrow(node_metrics))"
96,"network_metrics_modules_and_candidates",543,544,2,"<-","top_candidates",FALSE,"top_candidates <- node_metrics %>% slice_head(n = top_n)"
97,"network_metrics_modules_and_candidates",546,548,3,"<-","top_by_degree",FALSE,"top_by_degree <- node_metrics %>% arrange(desc(degree), desc(candidate_score), desc(betweenness)) %>% slice_head(n = top_n)"
98,"network_metrics_modules_and_candidates",550,552,3,"<-","top_by_betweenness",FALSE,"top_by_betweenness <- node_metrics %>% arrange(desc(betweenness), desc(candidate_score), desc(degree)) %>% slice_head(n = top_n)"
99,"network_metrics_modules_and_candidates",554,556,3,"<-","top_by_stress",FALSE,"top_by_stress <- node_metrics %>% arrange(desc(stress_centrality), desc(candidate_score), desc(degree)) %>% slice_head(n = top_n)"
100,"network_metrics_modules_and_candidates",558,564,7,"<-","degree_distribution",FALSE,"degree_distribution <- tibble(degree = as.integer(degree_all)) %>% count(degree, name = ""n_nodes"") %>% filter(degree > 0) %>% mutate( log10_degree = log10(degree), log10_n_nodes..."
101,"network_metrics_modules_and_candidates",566,569,4,"<-","module_labels",FALSE,"module_labels <- lapply( split(node_metrics$gene, node_metrics$community_louvain), label_module_by_markers )"
102,"network_metrics_modules_and_candidates",571,603,33,"<-","module_summary",FALSE,"module_summary <- node_metrics %>% group_by(community_louvain) %>% summarise( module_size = n(), nodes_in_largest_component = sum(in_largest_component, na.rm = TRUE), mean_logFC..."
103,"network_metrics_modules_and_candidates",607,607,1,"<-","major_module_ids",FALSE,"major_module_ids <- head(module_summary$community_louvain, min(5L, nrow(module_summary)))"
104,"network_metrics_modules_and_candidates",609,642,34,"<-","graph_summary",FALSE,"graph_summary <- tibble( metric = c( ""nodes"", ""edges"", ""components"", ""largest_component_nodes"", ""largest_component_fraction"", ""density"", ""average_degree"", ""global_clustering"", ""..."
105,"network_metrics_modules_and_candidates",644,665,22,"<-","mapping_summary",FALSE,"mapping_summary <- tibble( metric = c( ""input_rows"", ""initial_mapped"", ""initial_unmapped"", ""initial_mapped_percent"", ""final_mapped"", ""final_unmapped"", ""final_mapped_percent"", ""n..."
106,"network_metrics_modules_and_candidates",667,706,40,"<-","gene_status",FALSE,"gene_status <- input_tbl %>% distinct(input_gene, gene) %>% mutate( symbol_category_raw = vapply(gene, classify_symbol_pattern, FUN.VALUE = character(1)), hgnc_status = ifelse(i..."
107,"network_metrics_modules_and_candidates",708,711,4,"<-","still_unmapped",FALSE,"still_unmapped <- mapped_final_raw %>% filter(is.na(STRING_id)) %>% distinct(gene) %>% arrange(gene)"
108,"network_metrics_modules_and_candidates",714,714,1,"<-","enrichment_string_online_all",FALSE,"enrichment_string_online_all <- tibble()"
109,"network_metrics_modules_and_candidates",715,715,1,"<-","enrichment_string_online_top",FALSE,"enrichment_string_online_top <- tibble()"
110,"network_metrics_modules_and_candidates",716,716,1,"<-","module_enrichment_string_online",FALSE,"module_enrichment_string_online <- tibble()"
111,"network_metrics_modules_and_candidates",717,717,1,"<-","online_enrichment_status",FALSE,"online_enrichment_status <- tibble()"
112,"network_metrics_modules_and_candidates",718,718,1,"<-","enrichment_string_local_all",FALSE,"enrichment_string_local_all <- tibble()"
113,"network_metrics_modules_and_candidates",719,719,1,"<-","enrichment_string_local_top",FALSE,"enrichment_string_local_top <- tibble()"
114,"network_metrics_modules_and_candidates",720,720,1,"<-","module_enrichment_string_local",FALSE,"module_enrichment_string_local <- tibble()"
115,"network_metrics_modules_and_candidates",721,721,1,"<-","local_string_terms",FALSE,"local_string_terms <- tibble()"
116,"network_metrics_modules_and_candidates",722,722,1,"<-","enrichment_gprofiler_all",FALSE,"enrichment_gprofiler_all <- tibble()"
117,"network_metrics_modules_and_candidates",723,723,1,"<-","enrichment_gprofiler_top",FALSE,"enrichment_gprofiler_top <- tibble()"
118,"network_metrics_modules_and_candidates",724,724,1,"<-","module_enrichment_gprofiler",FALSE,"module_enrichment_gprofiler <- tibble()"
119,"network_metrics_modules_and_candidates",726,914,189,"if",,FALSE,"if (isTRUE(run_enrichment)) { msg(""Running functional enrichment analysis."") if (!requireNamespace(""gprofiler2"", quietly = TRUE)) { msg(""Optional package gprofiler2 is not insta..."
120,"enrichment_and_module_annotation",917,920,4,"<-","major_module_summary",FALSE,"major_module_summary <- module_summary %>% filter(community_louvain %in% major_module_ids) %>% arrange(match(community_louvain, major_module_ids)) %>% mutate(major_module_rank =..."
121,"enrichment_and_module_annotation",922,931,10,"<-","node_metrics",FALSE,"node_metrics <- node_metrics %>% left_join( module_summary %>% select( community_louvain, module_direction, clean_module_label, marker_based_direction, marker_clean_label, marke..."
122,"enrichment_and_module_annotation",934,936,3,"<-","top_candidates",FALSE,"top_candidates <- node_metrics %>% arrange(desc(candidate_score), desc(degree), desc(betweenness)) %>% slice_head(n = top_n)"
123,"enrichment_and_module_annotation",938,940,3,"<-","top_by_degree",FALSE,"top_by_degree <- node_metrics %>% arrange(desc(degree), desc(candidate_score), desc(betweenness)) %>% slice_head(n = top_n)"
124,"enrichment_and_module_annotation",942,944,3,"<-","top_by_betweenness",FALSE,"top_by_betweenness <- node_metrics %>% arrange(desc(betweenness), desc(candidate_score), desc(degree)) %>% slice_head(n = top_n)"
125,"enrichment_and_module_annotation",946,948,3,"<-","top_by_stress",FALSE,"top_by_stress <- node_metrics %>% arrange(desc(stress_centrality), desc(candidate_score), desc(degree)) %>% slice_head(n = top_n)"
126,"reporting_export_and_completion",949,949,1,"msg",,FALSE,"msg(""Writing consolidated output files."")"
127,"reporting_export_and_completion",979,988,10,"<-","preferred_enrichment_categories",FALSE,"preferred_enrichment_categories <- c( ""Biological Process (Gene Ontology)"", ""Reactome Pathways"", ""WikiPathways"", ""KEGG Pathways"", ""Local Network Cluster (STRING)"", ""Annotated Ke..."
128,"reporting_export_and_completion",992,1000,9,"<-","secondary_enrichment_categories",FALSE,"secondary_enrichment_categories <- c( ""Human Phenotype (Monarch)"", ""Tissue expression (TISSUES)"", ""Disease-gene associations (DISEASES)"", ""Subcellular localization (COMPARTMENTS..."
129,"reporting_export_and_completion",1002,1016,15,"<-","specific_biology_pattern",FALSE,"specific_biology_pattern <- paste( c( ""immune"", ""immun"", ""leukocyte"", ""lymphocyte"", ""myeloid"", ""macrophage"", ""monocyte"", ""neutrophil"", ""t cell"", ""b cell"", ""natural killer"", ""cyt..."
130,"reporting_export_and_completion",1018,1044,27,"<-","generic_exact_terms",FALSE,"generic_exact_terms <- c( ""signaling"", ""signal transduction"", ""cell communication"", ""cellular response to stimulus"", ""response to stimulus"", ""response to stress"", ""biological re..."
131,"reporting_export_and_completion",1064,1174,111,"<-","label_rulebook",FALSE,"label_rulebook <- list( list( label_id = ""MHC_class_II_antigen_presentation_module"", fallback_label = ""immune_antigen_presentation_associated_module"", marker_patterns = c(""antig..."
132,"reporting_export_and_completion",1189,1189,1,"<-","module_enrichment_collapsed",FALSE,"module_enrichment_collapsed <- collapse_module_enrichment(module_enrichment_string_local, n_terms = 6L)"
133,"reporting_export_and_completion",1191,1192,2,"<-","module_summary_base",FALSE,"module_summary_base <- module_summary %>% left_join(module_enrichment_collapsed, by = ""community_louvain"")"
134,"reporting_export_and_completion",1194,1202,9,"<-","module_label_decisions",FALSE,"module_label_decisions <- mapply( assign_module_label_with_rules, marker_label = module_summary_base$marker_clean_label, marker_summary = module_summary_base$marker_based_direct..."
135,"reporting_export_and_completion",1204,1204,1,"<-","module_label_decisions",FALSE,"module_label_decisions <- bind_rows(lapply(module_label_decisions, tibble::as_tibble_row))"
136,"reporting_export_and_completion",1206,1250,45,"<-","module_summary_readable",FALSE,"module_summary_readable <- bind_cols(module_summary_base, module_label_decisions) %>% mutate( module_rank = dplyr::min_rank(dplyr::desc(module_size)), final_label_raw = normaliz..."
137,"reporting_export_and_completion",1252,1255,4,"<-","major_module_summary_readable",FALSE,"major_module_summary_readable <- module_summary_readable %>% filter(community_louvain %in% major_module_ids) %>% arrange(match(community_louvain, major_module_ids)) %>% mutate(m..."
138,"reporting_export_and_completion",1259,1259,1,"<-","online_gprofiler_collapsed",FALSE,"online_gprofiler_collapsed <- collapse_gprofiler_module_enrichment(module_enrichment_gprofiler, n_terms = 6L)"
139,"reporting_export_and_completion",1260,1260,1,"<-","online_string_collapsed",FALSE,"online_string_collapsed <- collapse_string_online_module_enrichment(module_enrichment_string_online, n_terms = 6L)"
140,"reporting_export_and_completion",1262,1310,49,"<-","online_validation_summary",FALSE,"online_validation_summary <- major_module_summary_readable %>% select( major_module_rank, community_louvain, final_functional_label, final_label_raw, specific_label_candidate_ra..."
141,"reporting_export_and_completion",1313,1341,29,"<-","node_metrics_readable",FALSE,"node_metrics_readable <- node_metrics %>% left_join( module_summary_readable %>% select( community_louvain, module_rank, final_functional_label, putative_biological_program, spe..."
142,"reporting_export_and_completion",1343,1422,80,"<-","candidate_evidence_matrix",FALSE,"candidate_evidence_matrix <- node_metrics_readable %>% mutate( candidate_rank = rank_desc(candidate_score), degree_rank = rank_desc(degree), betweenness_rank = rank_desc(between..."
143,"reporting_export_and_completion",1424,1434,11,"<-","top_candidates_readable",FALSE,"top_candidates_readable <- candidate_evidence_matrix %>% filter(candidate_rank <= top_n) %>% select( candidate_rank, gene, STRING_id, candidate_score, priority_class, final_func..."
144,"reporting_export_and_completion",1437,1468,32,"<-","priority_directions",FALSE,"priority_directions <- major_module_summary_readable %>% transmute( direction_rank = major_module_rank, louvain_module_id = community_louvain, putative_biological_program = fina..."
145,"reporting_export_and_completion",1470,1514,45,"<-","final_priorities",FALSE,"final_priorities <- bind_rows( priority_directions %>% transmute( priority_type = ""biological_direction"", priority_rank = direction_rank, priority_name = putative_biological_pro..."
146,"reporting_export_and_completion",1518,1539,22,"<-","report_readme",FALSE,"report_readme <- tibble( section = c( ""Purpose"", ""How to read this workbook"", ""Candidate selection logic"", ""Functional direction logic"", ""Generic-term filtering"", ""Enrichment mo..."
147,"reporting_export_and_completion",1541,1574,34,"<-","annotation_evidence_rules",FALSE,"annotation_evidence_rules <- tibble( rule = c( ""Module structure"", ""Curated marker evidence"", ""STRING/database evidence"", ""Explicit label rulebook"", ""Specific label versus fallb..."
148,"reporting_export_and_completion",1576,1619,44,"<-","executive_summary",FALSE,"executive_summary <- tibble( item = c( ""input_rows"", ""final_mapped_genes"", ""final_unmapped_genes"", ""network_nodes"", ""network_edges"", ""annotation_mode"", ""connected_components"", ""..."
149,"reporting_export_and_completion",1621,1640,20,"<-","network_overview",FALSE,"network_overview <- graph_summary %>% mutate( explanation = case_when( metric == ""nodes"" ~ ""Proteins represented as graph nodes."", metric == ""edges"" ~ ""STRING associations repre..."
150,"reporting_export_and_completion",1642,1685,44,"<-","glossary",FALSE,"glossary <- tibble( term = c( ""candidate_score"", ""degree"", ""betweenness"", ""stress_centrality"", ""Louvain module"", ""functional enrichment"", ""FDR"", ""marker_overlap"", ""specific_inte..."
151,"reporting_export_and_completion",1687,1704,18,"<-","caveats",FALSE,"caveats <- tibble( caveat = c( ""Exploratory prioritization"", ""Bulk RNA-seq composition"", ""STRING database bias"", ""Module labels are putative"", ""Generic enrichment terms"", ""Thera..."
152,"reporting_export_and_completion",1707,1719,13,"<-","analytical_sheets",FALSE,"analytical_sheets <- list( ""Executive summary"" = executive_summary, ""Final priorities"" = final_priorities, ""Major module priorities"" = priority_directions, ""Candidate rationale""..."
153,"reporting_export_and_completion",1721,1724,4,"write_readable_xlsx",,FALSE,"write_readable_xlsx( file.path(output_dir, ""CancerPPIr_Analytical_Report.xlsx""), analytical_sheets )"
154,"reporting_export_and_completion",1728,1745,18,"<-","technical_sheets",FALSE,"technical_sheets <- list( ""Mapping summary"" = mapping_summary, ""Gene status"" = gene_status, ""Alias corrections"" = alias_corrections, ""Unmapped genes"" = still_unmapped, ""HGNC nor..."
155,"reporting_export_and_completion",1747,1750,4,"write_readable_xlsx",,FALSE,"write_readable_xlsx( file.path(output_dir, ""CancerPPIr_Technical_Report.xlsx""), technical_sheets )"
156,"reporting_export_and_completion",1753,1753,1,"<-","links",FALSE,"links <- make_string_links(mapped_final$STRING_id, score_threshold)"
157,"reporting_export_and_completion",1754,1762,9,"writeLines",,FALSE,"writeLines( c( ""STRING network links"", ""These links use the first up to 300 STRING protein IDs to avoid browser URL-length limits."", paste(""current:"", links[[""current""]]), paste..."
158,"reporting_export_and_completion",1768,1776,9,"<-","cytoscape_node_attributes",FALSE,"cytoscape_node_attributes <- node_metrics_readable %>% mutate( louvain_module_id = community_louvain, cytoscape_label = gene, cytoscape_module_label = final_functional_label, cy..."
159,"reporting_export_and_completion",1778,1781,4,"for",,FALSE,"for (col in setdiff(names(cytoscape_node_attributes), ""STRING_id"")) { values <- cytoscape_node_attributes[[col]][match(igraph::V(ppi)$name, cytoscape_node_attributes$STRING_id)]..."
160,"reporting_export_and_completion",1783,1787,5,"igraph::write_graph",,FALSE,"igraph::write_graph( ppi, file.path(output_dir, ""Network_for_Cytoscape.graphml""), format = ""graphml"" )"
161,"reporting_export_and_completion",1789,1789,1,"msg",,FALSE,"msg(""Done."")"
162,"reporting_export_and_completion",1790,1790,1,"msg",,FALSE,"msg(""Output directory: "", normalizePath(output_dir))"
163,"reporting_export_and_completion",1791,1791,1,"msg",,FALSE,"msg(""Mapped genes: "", after_mapped, ""/"", after_total, "" ("", after_pct, ""%)"")"
164,"reporting_export_and_completion",1792,1792,1,"msg",,FALSE,"msg(""Network: "", igraph::gorder(ppi), "" nodes, "", igraph::gsize(ppi), "" edges, "", comp$no, "" components"")"
165,"reporting_export_and_completion",1793,1793,1,"msg",,FALSE,"msg(""Main files: CancerPPIr_Analytical_Report.xlsx, CancerPPIr_Technical_Report.xlsx, STRING_links.txt, Network_for_Cytoscape.graphml"")"
