"expression_index","expression_type","object_name","start_line","end_line","line_span"
1,"top_level_assignment","required_cran",22,22,1
2,"top_level_assignment","required_bioc",23,23,1
3,"top_level_assignment","optional_cran",24,24,1
4,"function_definition","check_package",26,34,9
5,"top_level_expression",,36,36,1
6,"top_level_expression",,38,46,9
7,"function_definition","parse_bool",48,50,3
8,"function_definition","is_bool_like",52,54,3
9,"function_definition","normalize_enrichment_mode",56,75,20
10,"top_level_assignment","args",77,77,1
11,"top_level_if",,79,91,13
12,"top_level_assignment","input_file",93,93,1
13,"top_level_assignment","results_root",94,94,1
14,"top_level_assignment","cache_dir",95,95,1
15,"top_level_assignment","score_threshold",96,96,1
16,"top_level_assignment","top_n",97,97,1
17,"top_level_if",,102,111,10
18,"top_level_if",,113,115,3
19,"top_level_assignment","sample_name",121,121,1
20,"top_level_assignment","sample_name",122,122,1
21,"top_level_assignment","sample_name",123,123,1
22,"top_level_if",,124,126,3
23,"function_definition","normalize_path_for_compare",128,130,3
24,"top_level_assignment","results_root_cmp",132,132,1
25,"top_level_assignment","results_root_base",133,133,1
26,"top_level_assignment","results_root_parent",134,134,1
27,"top_level_if",,136,145,10
28,"top_level_assignment","enrichment_mode",148,148,1
29,"top_level_assignment","run_online_enrichment",149,149,1
30,"top_level_if",,151,153,3
31,"top_level_if",,155,157,3
32,"top_level_if",,159,161,3
33,"top_level_if",,163,163,1
34,"top_level_expression",,164,164,1
35,"top_level_expression",,166,166,1
36,"top_level_expression",,167,167,1
37,"top_level_assignment","ca_bundle",169,169,1
38,"top_level_if",,170,173,4
39,"function_definition","msg",175,175,1
40,"function_definition","guess_separator",177,189,13
41,"function_definition","as_number",191,193,3
42,"function_definition","clean_names",195,201,7
43,"function_definition","find_column",203,206,4
44,"function_definition","read_gene_table",208,269,62
45,"function_definition","safe_min",271,274,4
46,"function_definition","safe_mean",276,279,4
47,"function_definition","minmax",281,300,20
48,"function_definition","classify_symbol_pattern",302,334,33
49,"function_definition","status_from_mapping",336,356,21
50,"top_level_assignment","marker_sets",358,368,11
51,"top_level_assignment","module_clean_labels",370,380,11
52,"function_definition","label_module_by_markers",382,415,34
53,"function_definition","clean_module_label_from_terms",417,458,42
54,"function_definition","top_genes",460,471,12
55,"function_definition","collapse_terms",473,480,8
56,"function_definition","clean_enrichment_table",482,500,19
57,"function_definition","run_gprofiler",502,534,33
58,"function_definition","string_enrichment_terms_candidates",537,545,9
59,"function_definition","find_string_enrichment_terms",547,554,8
60,"function_definition","download_string_enrichment_terms",556,579,24
61,"function_definition","read_string_enrichment_terms",581,640,60
62,"function_definition","run_local_string_enrichment",642,722,81
63,"function_definition","pick_string_id_col",724,740,17
64,"function_definition","pick_alias_col",742,756,15
65,"function_definition","pick_preferred_name_col",758,767,10
66,"function_definition","make_string_links",769,784,16
67,"function_definition","write_excel",786,798,13
68,"function_definition","map_to_string",800,853,54
69,"top_level_expression",,855,855,1
70,"top_level_assignment","input_tbl",856,856,1
71,"top_level_expression",,858,858,1
72,"top_level_assignment","hgnc_map",859,868,10
73,"top_level_assignment","input_tbl",870,875,6
74,"top_level_if",,877,879,3
75,"top_level_expression",,881,881,1
76,"top_level_assignment","string_db",882,903,22
77,"top_level_expression",,905,905,1
78,"top_level_assignment","mapped_initial",906,906,1
79,"top_level_assignment","initial_total",908,908,1
80,"top_level_assignment","initial_mapped",909,909,1
81,"top_level_assignment","initial_unmapped",910,910,1
82,"top_level_assignment","initial_pct",911,911,1
83,"top_level_assignment","unmapped_genes",913,913,1
84,"top_level_assignment","alias_corrections",915,920,6
85,"top_level_if",,922,997,76
86,"top_level_assignment","valid_alias_corrections",999,1001,3
87,"top_level_assignment","input_final",1003,1003,1
88,"top_level_if",,1005,1014,10
89,"top_level_assignment","mapped_final_raw",1016,1016,1
90,"top_level_if",,1018,1027,10
91,"top_level_assignment","mapped_final",1029,1031,3
92,"top_level_if",,1033,1035,3
93,"top_level_assignment","after_total",1037,1037,1
94,"top_level_assignment","after_mapped",1038,1038,1
95,"top_level_assignment","after_unmapped",1039,1039,1
96,"top_level_assignment","after_pct",1040,1040,1
97,"top_level_expression",,1042,1042,1
98,"top_level_assignment","ppi_raw",1043,1043,1
99,"top_level_if",,1045,1047,3
100,"top_level_assignment","ppi",1049,1051,3
101,"top_level_assignment","node_ids",1053,1053,1
102,"top_level_assignment","annotation",1055,1062,8
103,"top_level_expression",,1064,1064,1
104,"top_level_assignment","comp",1065,1065,1
105,"top_level_assignment","largest_component",1066,1066,1
106,"top_level_assignment","lcc_nodes",1067,1067,1
107,"top_level_assignment","ppi_lcc",1068,1068,1
108,"top_level_assignment","louvain",1070,1070,1
109,"top_level_assignment","degree_all",1072,1072,1
110,"top_level_assignment","betweenness_all",1073,1073,1
111,"top_level_assignment","closeness_all",1074,1074,1
112,"top_level_assignment",,1075,1075,1
113,"top_level_assignment","harmonic_all",1077,1081,5
114,"top_level_assignment","local_clustering_all",1083,1083,1
115,"top_level_assignment",,1084,1084,1
116,"top_level_assignment","stress_all",1086,1103,18
117,"top_level_assignment","global_clustering",1105,1105,1
118,"top_level_if",,1106,1106,1
119,"top_level_assignment","average_path_lcc",1108,1112,5
120,"top_level_assignment","diameter_lcc",1114,1118,5
121,"top_level_assignment","radius_lcc",1120,1124,5
122,"top_level_assignment","node_metrics",1126,1155,30
123,"top_level_assignment","top_n",1157,1157,1
124,"top_level_assignment","top_candidates",1159,1160,2
125,"top_level_assignment","top_by_degree",1162,1164,3
126,"top_level_assignment","top_by_betweenness",1166,1168,3
127,"top_level_assignment","top_by_stress",1170,1172,3
128,"top_level_assignment","degree_distribution",1174,1180,7
129,"top_level_assignment","module_labels",1182,1185,4
130,"top_level_assignment","module_summary",1187,1219,33
131,"top_level_assignment","major_module_ids",1223,1223,1
132,"top_level_assignment","graph_summary",1225,1258,34
133,"top_level_assignment","mapping_summary",1260,1281,22
134,"top_level_assignment","gene_status",1283,1322,40
135,"top_level_assignment","still_unmapped",1324,1327,4
136,"function_definition","run_string_enrichment_online",1329,1350,22
137,"top_level_assignment","enrichment_string_online_all",1352,1352,1
138,"top_level_assignment","enrichment_string_online_top",1353,1353,1
139,"top_level_assignment","module_enrichment_string_online",1354,1354,1
140,"top_level_assignment","online_enrichment_status",1355,1355,1
141,"top_level_assignment","enrichment_string_local_all",1356,1356,1
142,"top_level_assignment","enrichment_string_local_top",1357,1357,1
143,"top_level_assignment","module_enrichment_string_local",1358,1358,1
144,"top_level_assignment","local_string_terms",1359,1359,1
145,"top_level_assignment","enrichment_gprofiler_all",1360,1360,1
146,"top_level_assignment","enrichment_gprofiler_top",1361,1361,1
147,"top_level_assignment","module_enrichment_gprofiler",1362,1362,1
148,"top_level_if",,1364,1552,189
149,"top_level_assignment","major_module_summary",1555,1558,4
150,"top_level_assignment","node_metrics",1560,1569,10
151,"top_level_assignment","top_candidates",1572,1574,3
152,"top_level_assignment","top_by_degree",1576,1578,3
153,"top_level_assignment","top_by_betweenness",1580,1582,3
154,"top_level_assignment","top_by_stress",1584,1586,3
155,"top_level_expression",,1587,1587,1
156,"function_definition","sanitize_sheet_name",1608,1611,4
157,"function_definition","as_output_table",1613,1622,10
158,"function_definition","truncate_text",1624,1630,7
159,"function_definition","normalize_label_text",1632,1636,5
160,"function_definition","humanize_label",1638,1644,7
161,"function_definition","rank_desc",1646,1648,3
162,"function_definition","evidence_level",1650,1667,18
163,"top_level_assignment","preferred_enrichment_categories",1671,1680,10
164,"top_level_assignment","secondary_enrichment_categories",1684,1692,9
165,"top_level_assignment","specific_biology_pattern",1694,1708,15
166,"top_level_assignment","generic_exact_terms",1710,1736,27
167,"function_definition","is_generic_enrichment_term",1738,1753,16
168,"function_definition","add_enrichment_priority",1755,1771,17
169,"function_definition","select_top_enrichment",1773,1820,48
170,"function_definition","collapse_module_enrichment",1822,1888,67
171,"function_definition","collapse_gprofiler_module_enrichment",1891,1917,27
172,"function_definition","collapse_string_online_module_enrichment",1919,1963,45
173,"function_definition","online_concordance_status",1965,1979,15
174,"function_definition","max_marker_overlap_count",1981,1994,14
175,"function_definition","has_assigned_label",1996,1998,3
176,"top_level_assignment","label_rulebook",2008,2118,111
177,"function_definition","label_rulebook_table",2120,2129,10
178,"function_definition","matches_any_pattern",2131,2140,10
179,"function_definition","count_matching_patterns",2142,2151,10
180,"function_definition","extract_marker_counts",2153,2168,16
181,"function_definition","marker_count_for_rule",2170,2176,7
182,"function_definition","label_evidence_score",2178,2193,16
183,"function_definition","assign_label_confidence",2195,2212,18
184,"function_definition","label_source_from_counts",2214,2223,10
185,"function_definition","supporting_themes_from_evidence",2225,2268,44
186,"function_definition","assign_module_label_with_rules",2270,2352,83
187,"function_definition","%||%",2354,2356,3
188,"function_definition","write_readable_xlsx",2358,2413,56
189,"top_level_assignment","module_enrichment_collapsed",2416,2416,1
190,"top_level_assignment","module_summary_base",2418,2419,2
191,"top_level_assignment","module_label_decisions",2421,2429,9
192,"top_level_assignment","module_label_decisions",2431,2431,1
193,"top_level_assignment","module_summary_readable",2433,2477,45
194,"top_level_assignment","major_module_summary_readable",2479,2482,4
195,"top_level_assignment","online_gprofiler_collapsed",2486,2486,1
196,"top_level_assignment","online_string_collapsed",2487,2487,1
197,"top_level_assignment","online_validation_summary",2489,2537,49
198,"top_level_assignment","node_metrics_readable",2540,2568,29
199,"top_level_assignment","candidate_evidence_matrix",2570,2649,80
200,"top_level_assignment","top_candidates_readable",2651,2661,11
201,"top_level_assignment","priority_directions",2664,2695,32
202,"top_level_assignment","final_priorities",2697,2741,45
203,"function_definition","metric_value",2744,2750,7
204,"top_level_assignment","report_readme",2752,2773,22
205,"top_level_assignment","annotation_evidence_rules",2775,2808,34
206,"top_level_assignment","executive_summary",2810,2853,44
207,"top_level_assignment","network_overview",2855,2874,20
208,"top_level_assignment","glossary",2876,2919,44
209,"top_level_assignment","caveats",2921,2938,18
210,"top_level_assignment","analytical_sheets",2941,2953,13
211,"top_level_expression",,2955,2958,4
212,"top_level_assignment","technical_sheets",2962,2979,18
213,"top_level_expression",,2981,2984,4
214,"top_level_assignment","links",2987,2987,1
215,"top_level_expression",,2988,2996,9
216,"top_level_assignment","cytoscape_node_attributes",3002,3010,9
217,"top_level_for",,3012,3015,4
218,"top_level_expression",,3017,3021,5
219,"top_level_expression",,3023,3023,1
220,"top_level_expression",,3024,3024,1
221,"top_level_expression",,3025,3025,1
222,"top_level_expression",,3026,3026,1
223,"top_level_expression",,3027,3027,1
